"Error","Chunk","Fold","EmotionMeasure","SpecificEmotion","BodilyActivity","ConversationValence","OutputType"
0.954197108745575,"1","10","6emo","Surprise_Error","both","pos","observed"
0.729345679283142,"1","10","6emo","Anger_Accuracy","both","pos","observed"
0.776806652545929,"1","10","6emo","Disgust_Accuracy","both","pos","observed"
1,"1","10","6emo","Fear_Accuracy","both","pos","observed"
0.535449206829071,"1","10","6emo","Happiness_Accuracy","both","pos","observed"
0.775195300579071,"1","10","6emo","Sadness_Accuracy","both","pos","observed"
0.523242175579071,"1","10","6emo","Surprise_Accuracy","both","pos","observed"
8.32025337219238,"1","1","6emo","OverallError","both","both","rand"
1.38679647445679,"1","1","6emo","Anger_Error","both","both","rand"
1.38677084445953,"1","1","6emo","Disgust_Error","both","both","rand"
1.38673508167267,"1","1","6emo","Fear_Error","both","both","rand"
1.38673484325409,"1","1","6emo","Happiness_Error","both","both","rand"
1.38670372962952,"1","1","6emo","Sadness_Error","both","both","rand"
1.38651192188263,"1","1","6emo","Surprise_Error","both","both","rand"
0.24983723461628,"1","1","6emo","Anger_Accuracy","both","both","rand"
0.247837617993355,"1","1","6emo","Disgust_Accuracy","both","both","rand"
0.246698290109634,"1","1","6emo","Fear_Accuracy","both","both","rand"
0.248349145054817,"1","1","6emo","Happiness_Accuracy","both","both","rand"
0.250813812017441,"1","1","6emo","Sadness_Accuracy","both","both","rand"
0.252697169780731,"1","1","6emo","Surprise_Accuracy","both","both","rand"
8.32089042663574,"1","2","6emo","OverallError","both","both","rand"
1.38654386997223,"1","2","6emo","Anger_Error","both","both","rand"
1.38667094707489,"1","2","6emo","Disgust_Error","both","both","rand"
1.38697946071625,"1","2","6emo","Fear_Error","both","both","rand"
1.38706386089325,"1","2","6emo","Happiness_Error","both","both","rand"
1.38679134845734,"1","2","6emo","Sadness_Error","both","both","rand"
1.38684070110321,"1","2","6emo","Surprise_Error","both","both","rand"
0.250767290592194,"1","2","6emo","Anger_Accuracy","both","both","rand"
0.248767673969269,"1","2","6emo","Disgust_Accuracy","both","both","rand"
